date 	ssc
09.06.2008 16:35	2.66
09.06.2008 16:40	4.1
09.06.2008 16:45	4.66
09.06.2008 16:50	3.7
09.06.2008 16:55	4.69
09.06.2008 17:00	4.88
09.06.2008 17:05	5.2
09.06.2008 17:10	4.96
09.06.2008 17:15	4.88
09.06.2008 17:20	4.54
09.06.2008 17:25	5.27
09.06.2008 17:30	5.16
09.06.2008 17:35	5.28
09.06.2008 17:45	5.85
09.06.2008 17:55	6.09
09.06.2008 18:05	6.65
09.06.2008 18:15	6.88
09.06.2008 18:25	7.24
09.06.2008 18:35	7.42
09.06.2008 18:45	7.56
09.06.2008 18:55	7.73
09.06.2008 19:05	7.76
09.06.2008 19:15	7.91
16.07.2008 17:20	6.1
16.07.2008 17:25	4.32
16.07.2008 17:30	4.96
16.07.2008 17:35	4.42
16.07.2008 17:40	5.23
16.07.2008 17:45	5.4
16.07.2008 17:50	6.03
16.07.2008 17:55	6.66
16.07.2008 18:00	8.09
16.07.2008 18:05	8.37
16.07.2008 18:10	8.67
16.07.2008 18:15	8.36
16.07.2008 18:25	8.99
16.07.2008 18:35	9
16.07.2008 18:45	9.25
16.07.2008 18:55	9.04
16.07.2008 19:05	9.06
16.07.2008 19:15	8.9
16.07.2008 19:25	9.16
16.07.2008 19:35	9
16.07.2008 19:45	9.43
16.07.2008 19:55	9.29
16.07.2008 20:55	9.43
27.07.2008 12:20	4.22
27.07.2008 12:25	3.67
27.07.2008 12:30	3.68
27.07.2008 12:35	3.74
27.07.2008 12:40	3.89
27.07.2008 12:45	5.7
27.07.2008 12:50	6.29
27.07.2008 12:55	6.83
27.07.2008 13:00	6.96
27.07.2008 13:05	7.81
27.07.2008 13:10	8.09
27.07.2008 13:15	8.33
27.07.2008 13:25	8.59
27.07.2008 13:35	8.69
27.07.2008 13:45	8.95
27.07.2008 13:55	9.3
27.07.2008 14:05	9.57
27.07.2008 14:15	9.44
27.07.2008 14:25	9.44
27.07.2008 14:35	9.59
27.07.2008 14:45	9.53
27.07.2008 14:55	9.59
27.07.2008 15:55	9.69
22.08.2008 11:50	4.99
22.08.2008 11:55	3.8
22.08.2008 12:00	4.3
22.08.2008 12:05	4.29
22.08.2008 12:10	4.8
22.08.2008 12:15	5.52
22.08.2008 12:20	6.6
22.08.2008 12:25	5.84
22.08.2008 12:30	7.58
22.08.2008 12:35	12.11
22.08.2008 12:40	10.85
22.08.2008 12:45	8.94
22.08.2008 12:55	11.23
22.08.2008 13:05	11.32
22.08.2008 13:15	11.18
22.08.2008 13:25	9.21
22.08.2008 13:35	11.22
22.08.2008 13:45	11.26
22.08.2008 13:55	11.34
22.08.2008 14:05	10.74
22.08.2008 14:15	11.16
22.08.2008 14:25	11.05
22.08.2008 15:25	10.8
23.09.2008 16:20	5.31
23.09.2008 16:25	4.18
23.09.2008 16:30	3.58
23.09.2008 16:35	4.31
23.09.2008 16:40	4.12
23.09.2008 16:45	5
23.09.2008 16:50	5.62
23.09.2008 16:55	6.32
23.09.2008 17:00	8.07
