date	ssc
12.03.2011 9:00	0.142
12.03.2011 12:15	0.929
12.03.2011 13:30	41.615
14.03.2011 19:30	0.892
15.03.2011 1:00	0.341
15.03.2011 7:00	0.151
15.03.2011 14:15	1.922
15.03.2011 19:15	2.207
16.03.2011 10:00	0.496
16.03.2011 10:45	0.297
16.03.2011 11:30	1.24
16.03.2011 12:00	0.363
16.03.2011 12:30	0.298
16.03.2011 12:30	0.242
16.03.2011 13:00	0.264
16.03.2011 13:30	0.264
16.03.2011 14:00	0.24
16.03.2011 14:30	0.234
16.03.2011 14:30	0.278
16.03.2011 18:30	0.185
16.03.2011 20:30	0.168
17.03.2011 0:30	0.134
17.03.2011 6:30	0.051
17.03.2011 8:30	0.078
17.03.2011 10:30	0.07
17.03.2011 14:30	0.064
17.03.2011 16:30	0.057
17.03.2011 18:30	0.059
17.03.2011 20:30	0.037
17.03.2011 22:30	0.047
18.03.2011 0:30	0.036
18.03.2011 2:30	0.032
18.03.2011 4:30	0.025
18.03.2011 6:30	0.037
18.03.2011 10:30	0.05
18.03.2011 12:30	0.037
02.05.2011 21:15	0.7142
07.05.2011 19:30	8.0043
07.05.2011 21:30	29.098
08.05.2011 0:15	5.6078
30.05.2011 14:00	14.9355
30.05.2011 14:15	9.0323
06.06.2011 17:45	9.5873
06.06.2011 18:00	11.9
06.06.2011 18:45	85.4444
06.06.2011 19:45	53.5263
06.06.2011 20:45	24.0769
06.06.2011 21:45	26.5
06.06.2011 22:45	15.45
06.06.2011 23:45	6.1
07.06.2011 0:45	3.275
07.06.2011 1:45	1.6
07.06.2011 2:45	0.8733
07.06.2011 3:45	0.9133
07.06.2011 4:45	0.7133
07.06.2011 5:45	0.5608
07.06.2011 6:45	0.5263
07.06.2011 7:45	0.471
07.06.2011 8:45	0.3968
07.06.2011 9:45	0.318
07.06.2011 10:45	0.2998
07.06.2011 11:45	1.074
07.06.2011 12:00	2.2012
07.06.2011 13:00	6.2345
07.06.2011 13:30	5.3615
07.06.2011 14:00	3.2265
07.06.2011 15:00	2.0735
07.06.2011 15:30	1.5145
07.06.2011 15:45	1.329
07.06.2011 16:00	0.8643
07.06.2011 16:15	1.2385
07.06.2011 16:30	1.2868
07.06.2011 17:00	1.3304
07.06.2011 17:30	1.5365
07.06.2011 18:00	1.9116
07.06.2011 18:30	2.2378
07.06.2011 20:00	1.5603
07.06.2011 21:30	1.8145
07.06.2011 23:00	1.0095
08.06.2011 0:30	0.879
08.06.2011 2:00	0.578
08.06.2011 3:30	0.6055
08.06.2011 5:00	0.5073
08.06.2011 6:30	0.4505
08.06.2011 8:00	0.383
08.06.2011 9:30	0.3028
08.06.2011 11:00	0.2558
08.06.2011 12:30	0.2525
08.06.2011 14:00	0.2503
08.06.2011 15:30	0.2478
08.06.2011 17:00	0.2163
08.06.2011 18:30	0.2058
08.06.2011 20:00	0.173
08.06.2011 21:30	0.156
08.06.2011 23:00	0.1578
09.06.2011 0:30	0.3205
09.06.2011 2:00	0.1233
09.06.2011 3:30	0.0973
09.06.2011 5:00	0.141
10.06.2011 1:30	5
10.06.2011 2:00	3.3871
10.06.2011 3:30	18
10.06.2011 5:30	9.0256
10.06.2011 7:30	4.2821
10.06.2011 9:30	1.6874
10.06.2011 11:30	0.4026
10.06.2011 13:00	0.4472
10.06.2011 13:30	0.4188
10.06.2011 14:00	0.4283
10.06.2011 14:30	0.4623
10.06.2011 15:00	0.3797
10.06.2011 15:30	0.3424
10.06.2011 17:00	0.28
10.06.2011 18:30	0.5284
10.06.2011 20:00	2.3094
10.06.2011 23:00	0.7078
11.06.2011 0:30	0.2825
11.06.2011 2:00	0.1473
11.06.2011 3:30	0.2033
11.06.2011 5:00	0.168
11.06.2011 6:30	0.0865
11.06.2011 8:00	0.1098
11.06.2011 9:30	0.1395
11.06.2011 11:00	0.1156
11.06.2011 12:30	0.138
11.06.2011 14:00	0.088
11.06.2011 15:30	0.1168
11.06.2011 17:00	0.0741
11.06.2011 18:30	0.0698
11.06.2011 20:00	0.0725
11.06.2011 21:30	0.0683
11.06.2011 23:00	0.0845
12.06.2011 0:30	0.1083
12.06.2011 2:00	0.0588
