date	rain_Barasona	rain_Baserca	rain_Calvera	rain_Campo	rain_Capella	rain_Casarella	rain_Castigaleu	rain_Cerler	rain_Chordal	rain_ElCiego	rain_Grado	rain_Eriste	rain_Escales	rain_Fallada	rain_LaComa	rain_LesPaules	rain_Llanos	rain_Samper	rain_SanMartin	rain_Ubiergo
01.01.2007 00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01.01.2007 00:05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01.01.2007 00:10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01.01.2007 00:15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01.01.2007 00:20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01.01.2007 00:25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01.01.2007 00:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01.01.2007 00:35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01.01.2007 00:40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01.01.2007 00:45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01.01.2007 00:50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01.01.2007 00:55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01.01.2007 01:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01.01.2007 01:05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01.01.2007 01:10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01.01.2007 01:15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01.01.2007 01:20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01.01.2007 01:25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01.01.2007 01:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
