Flood numbering				
Location	individual_flood_number	general_flood_number	begin	end
h1	1	1	01.01.1985 00:00	01.01.1986 00:00
h1	2	2	01.01.1986 00:00	01.01.1987 00:00
h1	3	3	01.01.1987 00:00	01.01.1988 00:00
h1	4	4	01.01.1988 00:00	01.01.1989 00:00
h1	5	5	01.01.1989 00:00	01.01.1990 00:00
h1	6	6	01.01.1990 00:00	01.01.1991 00:00
h1	7	7	01.01.1991 00:00	01.01.1992 00:00
h1	8	8	01.01.1992 00:00	01.01.1993 00:00
h1	9	9	01.01.1993 00:00	01.01.1994 00:00
h1	10	10	01.01.1994 00:00	01.01.1995 00:00
h1	11	11	01.01.1995 00:00	01.01.1996 00:00
h1	12	12	01.01.1996 00:00	01.01.1997 00:00
h1	13	13	01.01.1997 00:00	01.01.1998 00:00
h1	14	14	01.01.1998 00:00	01.01.1999 00:00
h1	15	15	01.01.1999 00:00	01.01.2000 00:00
h1	16	16	01.01.2000 00:00	01.01.2001 00:00
h1	17	17	01.01.2001 00:00	01.01.2002 00:00
h1	18	18	01.01.2002 00:00	01.01.2003 00:00
h1	19	19	01.01.2003 00:00	01.01.2004 00:00
h1	20	20	01.01.2004 00:00	01.01.2005 00:00
h1	21	21	01.01.2005 00:00	01.01.2006 00:00
h1	22	22	01.01.2006 00:00	01.01.2007 00:00
h1	23	23	01.01.2007 00:00	01.01.2008 00:00
h1	24	24	01.01.2008 00:00	01.01.2009 00:00
h1	25	25	01.01.2009 00:00	01.01.2010 00:00
h1	26	26	01.01.2010 00:00	01.01.2011 00:00
